"FileName","ItemName","RarityNum","TypeNum","Class"
"Magic_Sharkskin_Tunic.asset","Sharkskin Tunic","1","1","STG.CurveDash.ArmorItemData"
"Normal_Plate_Vest.asset","Plate Vest","0","1","STG.CurveDash.ArmorItemData"
"Rare_Astral_Plate.asset","Astral Plate","2","1","STG.CurveDash.ArmorItemData"
"Unique_Kaoms_Heart.asset","Kaoms Heart","3","1","STG.CurveDash.ArmorItemData"
"Unique_Shavronnes_Wrappings.asset","Shavronnes Wrappings","3","1","STG.CurveDash.ArmorItemData"
"Magic_Slink_Boots.asset","Slink Boots","1","1","STG.CurveDash.ArmorItemData"
"Normal_Iron_Greaves.asset","Iron Greaves","0","1","STG.CurveDash.ArmorItemData"
"Rare_Titan_Greaves.asset","Titan Greaves","2","1","STG.CurveDash.ArmorItemData"
"Unique_Kaoms_Roots.asset","Kaoms Roots","3","1","STG.CurveDash.ArmorItemData"
"Unique_Skyforth.asset","Skyforth","3","1","STG.CurveDash.ArmorItemData"
"Magic_Stealth_Gloves.asset","Stealth Gloves","1","1","STG.CurveDash.ArmorItemData"
"Normal_Iron_Gauntlets.asset","Iron Gauntlets","0","1","STG.CurveDash.ArmorItemData"
"Rare_Slink_Gloves.asset","Slink Gloves","2","1","STG.CurveDash.ArmorItemData"
"Unique_Facebreaker.asset","Facebreaker","3","1","STG.CurveDash.ArmorItemData"
"Unique_Sadimas_Touch.asset","Sadimas Touch","3","1","STG.CurveDash.ArmorItemData"
"Magic_Enchanted_Circlet.asset","Enchanted Circlet","1","1","STG.CurveDash.ArmorItemData"
"Normal_Iron_Helmet.asset","Iron Helmet","0","1","STG.CurveDash.ArmorItemData"
"Rare_Hubris_Circlet.asset","Hubris Circlet","2","1","STG.CurveDash.ArmorItemData"
"Unique_Abyssus.asset","Abyssus","3","1","STG.CurveDash.ArmorItemData"
"Unique_Goldrim.asset","Goldrim","3","1","STG.CurveDash.ArmorItemData"
"Currency_Armourer_Scrap.asset","Armourer Scrap","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Blacksmith_Whetstone.asset","Blacksmith Whetstone","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Chaos_Orb.asset","Chaos Orb","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Exalted_Orb.asset","Exalted Orb","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Orb_Alteration.asset","Orb Alteration","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Orb_Transmutation.asset","Orb Transmutation","0","2","STG.CurveDash.CurrencyItemData"
"Currency_Scroll_Wisdom.asset","Scroll Wisdom","0","2","STG.CurveDash.CurrencyItemData"
"Flask_Diamond_Flask.asset","Diamond Flask","0","3","STG.CurveDash.FlaskItemData"
"Flask_Granite_Flask.asset","Granite Flask","0","3","STG.CurveDash.FlaskItemData"
"Flask_Life_Flask_Small.asset","Life Flask Small","0","3","STG.CurveDash.FlaskItemData"
"Flask_Mana_Flask_Small.asset","Mana Flask Small","0","3","STG.CurveDash.FlaskItemData"
"Flask_Quicksilver_Flask.asset","Quicksilver Flask","0","3","STG.CurveDash.FlaskItemData"
"Chaos_Flicker_Strike_Gem.asset","Flicker Strike Gem","0","2","STG.CurveDash.GemItemData"
"Cold_Freezing_Pulse_Gem.asset","Freezing Pulse Gem","0","2","STG.CurveDash.GemItemData"
"Cold_Hatred_Gem.asset","Hatred Gem","0","2","STG.CurveDash.GemItemData"
"Cold_Ice_Shot_Gem.asset","Ice Shot Gem","0","2","STG.CurveDash.GemItemData"
"Fire_Fireball_Gem.asset","Fireball Gem","0","2","STG.CurveDash.GemItemData"
"Lightning_Arc_Gem.asset","Arc Gem","0","2","STG.CurveDash.GemItemData"
"Lightning_Grace_Gem.asset","Grace Gem","0","2","STG.CurveDash.GemItemData"
"Physical_Cyclone_Gem.asset","Cyclone Gem","0","2","STG.CurveDash.GemItemData"
"Physical_Determination_Gem.asset","Determination Gem","0","2","STG.CurveDash.GemItemData"
"Physical_Heavy_Strike_Gem.asset","Heavy Strike Gem","0","2","STG.CurveDash.GemItemData"
"Physical_Split_Arrow_Gem.asset","Split Arrow Gem","0","2","STG.CurveDash.GemItemData"
"Physical_Tornado_Shot_Gem.asset","Tornado Shot Gem","0","2","STG.CurveDash.GemItemData"
"Support_Elemental_Focus_Gem.asset","Elemental Focus Gem","0","2","STG.CurveDash.GemItemData"
"Support_Faster_Projectiles_Gem.asset","Faster Projectiles Gem","0","2","STG.CurveDash.GemItemData"
"Support_Greater_Multiple_Projectiles_Gem.asset","Greater Multiple Projectiles Gem","0","2","STG.CurveDash.GemItemData"
"Support_Increased_Critical_Strikes_Gem.asset","Increased Critical Strikes Gem","0","2","STG.CurveDash.GemItemData"
"Support_Lesser_Multiple_Projectiles_Gem.asset","Lesser Multiple Projectiles Gem","0","2","STG.CurveDash.GemItemData"
"Support_Melee_Physical_Damage_Gem.asset","Melee Physical Damage Gem","0","2","STG.CurveDash.GemItemData"
"Asenath's Mark.asset","Asenath's Mark","3","0","STG.CurveDash.OffHandData"
"Barbed Arrow.asset","Barbed Arrow","2","0","STG.CurveDash.OffHandData"
"Bodkin Arrow.asset","Bodkin Arrow","2","0","STG.CurveDash.OffHandData"
"Broadhead Arrow.asset","Broadhead Arrow","0","0","STG.CurveDash.OffHandData"
"Flight Arrow.asset","Flight Arrow","1","0","STG.CurveDash.OffHandData"
"Harpoon Arrow.asset","Harpoon Arrow","0","0","STG.CurveDash.OffHandData"
"Magic_Flight_Arrow.asset","Flight Arrow","1","0","STG.CurveDash.OffHandData"
"Maligaro's Cruelty.asset","Maligaro's Cruelty","3","0","STG.CurveDash.OffHandData"
"Normal_Serrated_Arrow.asset","Serrated Arrow","0","0","STG.CurveDash.OffHandData"
"Rare_Barbed_Arrow.asset","Barbed Arrow","2","0","STG.CurveDash.OffHandData"
"Serrated Arrow.asset","Serrated Arrow","0","0","STG.CurveDash.OffHandData"
"Spike-Point Arrow.asset","Spike-Point Arrow","1","0","STG.CurveDash.OffHandData"
"Steelhead Arrow.asset","Steelhead Arrow","1","0","STG.CurveDash.OffHandData"
"Unique_Voidfletcher.asset","Voidfletcher","3","0","STG.CurveDash.OffHandData"
"Vaal Arrow.asset","Vaal Arrow","2","0","STG.CurveDash.OffHandData"
"Voidfletcher.asset","Voidfletcher","3","0","STG.CurveDash.OffHandData"
"Chin Sol.asset","Chin Sol","3","0","STG.CurveDash.BowData"
"Citadel Bow.asset","Citadel Bow","2","0","STG.CurveDash.BowData"
"Composite Bow.asset","Composite Bow","0","0","STG.CurveDash.BowData"
"Crude Bow.asset","Crude Bow","0","0","STG.CurveDash.BowData"
"Imperial Bow.asset","Imperial Bow","0","0","STG.CurveDash.BowData"
"Long Bow.asset","Long Bow","2","0","STG.CurveDash.BowData"
"Magic_Short_Bow.asset","Short Bow","1","0","STG.CurveDash.BowData"
"Normal_Crude_Bow.asset","Crude Bow","0","0","STG.CurveDash.BowData"
"Rare_Long_Bow.asset","Long Bow","2","0","STG.CurveDash.BowData"
"Reach of the Council.asset","Reach of the Council","3","0","STG.CurveDash.BowData"
"Recurve Bow.asset","Recurve Bow","1","0","STG.CurveDash.BowData"
"Reflex Bow.asset","Reflex Bow","2","0","STG.CurveDash.BowData"
"Short Bow.asset","Short Bow","1","0","STG.CurveDash.BowData"
"Thicket Bow.asset","Thicket Bow","1","0","STG.CurveDash.BowData"
"Unique_Reach_of_the_Council.asset","Reach of the Council","3","0","STG.CurveDash.BowData"
"Windripper.asset","Windripper","3","0","STG.CurveDash.BowData"
"Bastard Sword.asset","Bastard Sword","0","0","STG.CurveDash.TwoHandedWeaponData"
"Corroded Blade.asset","Corroded Blade","0","0","STG.CurveDash.TwoHandedWeaponData"
"Engraved Greatsword.asset","Engraved Greatsword","1","0","STG.CurveDash.TwoHandedWeaponData"
"Exalted Blade.asset","Exalted Blade","2","0","STG.CurveDash.TwoHandedWeaponData"
"Exquisite Blade.asset","Exquisite Blade","2","0","STG.CurveDash.TwoHandedWeaponData"
"Heaver Blade.asset","Heaver Blade","1","0","STG.CurveDash.TwoHandedWeaponData"
"Kondor's Pride.asset","Kondor's Pride","3","0","STG.CurveDash.TwoHandedWeaponData"
"Lion Sword.asset","Lion Sword","1","0","STG.CurveDash.TwoHandedWeaponData"
"Magic_Heaver_Blade.asset","Heaver Blade","1","0","STG.CurveDash.TwoHandedWeaponData"
"Normal_Corroded_Blade.asset","Corroded Blade","0","0","STG.CurveDash.TwoHandedWeaponData"
"Rare_Reaver_Sword.asset","Reaver Sword","2","0","STG.CurveDash.TwoHandedWeaponData"
"Reaver Sword.asset","Reaver Sword","2","0","STG.CurveDash.TwoHandedWeaponData"
"Starforge.asset","Starforge","3","0","STG.CurveDash.TwoHandedWeaponData"
